sample_id	tissue	sex	delta
GTEX-13O3O-0226	Adipose - Subcutaneous	female	0.2389775788793959
GTEX-13O3P-0226	Adipose - Subcutaneous	male	0.1233160691284595
GTEX-13O3Q-2326	Adipose - Subcutaneous	male	0.1284216185125713
GTEX-13O61-2426	Adipose - Subcutaneous	male	0.1727879340774126
GTEX-13OVG-2026	Adipose - Subcutaneous	male	0.0718922419177857
GTEX-13OVH-0226	Adipose - Subcutaneous	male	0.1988379481592032
GTEX-13OVI-1326	Adipose - Subcutaneous	female	0.2619579795244238
GTEX-13OVJ-0326	Adipose - Subcutaneous	female	0.1713271163930271
GTEX-13OVK-2126	Adipose - Subcutaneous	male	0.2304433162749866
GTEX-13OVL-0326	Adipose - Subcutaneous	male	0.1945561839049905
GTEX-13OW5-0226	Adipose - Subcutaneous	male	0.2163390486689493
GTEX-13OW6-0526	Adipose - Subcutaneous	male	0.1586957567106622
GTEX-13OW7-0226	Adipose - Subcutaneous	male	0.175099432715216
GTEX-13OW8-1226	Adipose - Subcutaneous	male	0.2717450484073503
GTEX-13PDP-0226	Adipose - Subcutaneous	male	0.1709542854755057
GTEX-13PL6-0226	Adipose - Subcutaneous	female	0.2272115718462918
GTEX-13PL7-0926	Adipose - Subcutaneous	female	0.2447546479487333
GTEX-13PLJ-0126	Adipose - Subcutaneous	female	0.2617161261037626
GTEX-13PVQ-0226	Adipose - Subcutaneous	male	0.1005419402541578
GTEX-13PVR-2426	Adipose - Subcutaneous	female	0.2711497401367964
GTEX-13QBU-2526	Adipose - Subcutaneous	female	0.3860785066282304
GTEX-13QIC-2426	Adipose - Subcutaneous	female	0.2223849623229967
GTEX-13QJ3-0426	Adipose - Subcutaneous	male	0.1606050384792778
GTEX-13QJC-2826	Adipose - Subcutaneous	female	0.13350209821017
GTEX-13RTJ-2526	Adipose - Subcutaneous	male	0.1476355716090014
GTEX-13RTL-0226	Adipose - Subcutaneous	male	0.0911329282796523
GTEX-13S7M-0226	Adipose - Subcutaneous	female	0.1460390148588584
GTEX-13S86-2126	Adipose - Subcutaneous	male	0.1218278134568391
GTEX-13SLW-0226	Adipose - Subcutaneous	male	0.1353572774723908
GTEX-13SLX-0426	Adipose - Subcutaneous	female	0.1964787879723191
GTEX-13U4I-0226	Adipose - Subcutaneous	female	0.1210920388704389
GTEX-13VXU-0226	Adipose - Subcutaneous	male	0.2418849377402728
GTEX-13W3W-2526	Adipose - Subcutaneous	female	0.2530415324303911
GTEX-13W46-0326	Adipose - Subcutaneous	male	0.2662740180793891
GTEX-13X6H-2226	Adipose - Subcutaneous	female	0.1546373074824295
GTEX-13X6I-0726	Adipose - Subcutaneous	male	0.112012863582059
GTEX-13X6J-0226	Adipose - Subcutaneous	male	0.1498716251877217
GTEX-13X6K-0226	Adipose - Subcutaneous	female	0.2499727266020089
GTEX-13YAN-0426	Adipose - Subcutaneous	male	0.2228054433246634
GTEX-1445S-0426	Adipose - Subcutaneous	male	0.253785080404995
GTEX-144FL-0226	Adipose - Subcutaneous	male	0.2068370828946877
GTEX-144GL-0226	Adipose - Subcutaneous	male	0.1390007341118102
GTEX-144GN-2226	Adipose - Subcutaneous	male	0.1578986201136651
GTEX-144GO-1626	Adipose - Subcutaneous	male	0.2965357129368461
GTEX-145LS-0226	Adipose - Subcutaneous	female	0.1990298738182819
GTEX-145LT-1826	Adipose - Subcutaneous	male	0.1467862575121686
GTEX-145LU-0226	Adipose - Subcutaneous	male	0.1692083585629931
GTEX-145LV-2226	Adipose - Subcutaneous	male	0.1595214363138422
GTEX-145ME-1926	Adipose - Subcutaneous	female	0.1117538448043768
GTEX-145MF-0526	Adipose - Subcutaneous	male	0.1077256507608064
GTEX-145MG-0126	Adipose - Subcutaneous	male	0.2317700953778383
GTEX-145MH-0226	Adipose - Subcutaneous	male	0.1946363428442438
GTEX-145MI-0426	Adipose - Subcutaneous	female	0.1984555646954069
GTEX-145MN-2626	Adipose - Subcutaneous	male	0.122928755212907
GTEX-145MO-0426	Adipose - Subcutaneous	male	0.1499720870449641
GTEX-146FH-0226	Adipose - Subcutaneous	female	0.1082910548091557
GTEX-146FQ-0226	Adipose - Subcutaneous	male	0.2314007790971246
GTEX-146FR-1826	Adipose - Subcutaneous	female	0.2896959383569567
GTEX-14753-0326	Adipose - Subcutaneous	male	0.208523603668887
GTEX-1477Z-1926	Adipose - Subcutaneous	male	0.184339175545955
GTEX-147F3-0626	Adipose - Subcutaneous	female	0.2030888683936459
GTEX-147F4-0526	Adipose - Subcutaneous	male	0.1926009705167227
GTEX-147GR-0426	Adipose - Subcutaneous	male	0.1931942836099762
GTEX-147JS-0426	Adipose - Subcutaneous	male	0.1628456202156616
GTEX-148VI-1726	Adipose - Subcutaneous	female	0.2083107002874463
GTEX-148VJ-0226	Adipose - Subcutaneous	male	0.0990502926820298
GTEX-1497J-2326	Adipose - Subcutaneous	male	0.2569252556185238
GTEX-14A5H-0526	Adipose - Subcutaneous	male	0.1128851901494178
GTEX-14A5I-0226	Adipose - Subcutaneous	female	0.1621269291793764
GTEX-14A6H-2526	Adipose - Subcutaneous	male	0.2315757191993396
GTEX-14ABY-0326	Adipose - Subcutaneous	male	0.1727253134634813
GTEX-14AS3-2026	Adipose - Subcutaneous	female	0.1089328320787651
GTEX-14ASI-0226	Adipose - Subcutaneous	male	0.1938468135894681
GTEX-14B4R-1626	Adipose - Subcutaneous	male	0.1104769587185305
GTEX-14BIL-0226	Adipose - Subcutaneous	male	0.1133735875054263
GTEX-14BIM-0126	Adipose - Subcutaneous	female	0.0929035250001548
GTEX-14BIN-0726	Adipose - Subcutaneous	female	0.2612794185291975
GTEX-14BMV-0226	Adipose - Subcutaneous	male	0.1869451466820254
GTEX-14C38-0326	Adipose - Subcutaneous	male	0.2468772842160537
GTEX-14C39-2526	Adipose - Subcutaneous	male	0.277561724779455
GTEX-14C5O-0226	Adipose - Subcutaneous	male	0.1277623427478121
GTEX-14DAQ-0226	Adipose - Subcutaneous	female	0.1487522431802573
GTEX-14DAR-1926	Adipose - Subcutaneous	male	0.1102453340490389
GTEX-14E1K-2126	Adipose - Subcutaneous	male	0.123970735706817
GTEX-14E6C-0226	Adipose - Subcutaneous	male	0.1726701111180875
GTEX-14E6D-0226	Adipose - Subcutaneous	male	0.3524286222581855
GTEX-14E6E-1926	Adipose - Subcutaneous	male	0.0589163547881994
GTEX-14E7W-0226	Adipose - Subcutaneous	male	0.122220915117625
GTEX-14H4A-1026	Adipose - Subcutaneous	female	0.2694412221157422
GTEX-14ICK-0326	Adipose - Subcutaneous	male	0.1308274580055718
GTEX-14ICL-2026	Adipose - Subcutaneous	male	0.2016667473168306
GTEX-14JFF-0226	Adipose - Subcutaneous	male	0.2605251929400305
GTEX-14JG1-0526	Adipose - Subcutaneous	male	0.1987884427196069
GTEX-14JG6-2326	Adipose - Subcutaneous	female	0.1457087420977517
GTEX-14JIY-0526	Adipose - Subcutaneous	male	0.0669908599671021
GTEX-14LLW-0226	Adipose - Subcutaneous	female	0.232601157159439
GTEX-14LZ3-0326	Adipose - Subcutaneous	female	0.2157846811522877
GTEX-14PHW-0226	Adipose - Subcutaneous	female	0.2001016917210841
GTEX-14PHX-2426	Adipose - Subcutaneous	male	0.3043530941779647
GTEX-14PHY-2426	Adipose - Subcutaneous	female	0.213542853311725
GTEX-14PII-0326	Adipose - Subcutaneous	male	0.1029236811609627
GTEX-14PJ2-0226	Adipose - Subcutaneous	male	0.2120665681626027
GTEX-14PJ3-1926	Adipose - Subcutaneous	male	0.1876210571823419
GTEX-14PJ4-2226	Adipose - Subcutaneous	male	0.142610162767975
GTEX-14PJ5-1726	Adipose - Subcutaneous	female	0.0955438963066317
GTEX-14PJ6-2226	Adipose - Subcutaneous	female	0.2395962769105815
GTEX-14PJM-0326	Adipose - Subcutaneous	female	0.3024933975390346
GTEX-14PJN-2026	Adipose - Subcutaneous	male	0.1171385354209597
GTEX-14PJO-0226	Adipose - Subcutaneous	male	0.1511774906264631
GTEX-14PK6-2026	Adipose - Subcutaneous	female	0.1749406256462523
GTEX-14PKU-2126	Adipose - Subcutaneous	female	0.2515517849187375
GTEX-14PN3-2526	Adipose - Subcutaneous	female	0.2123871690953799
GTEX-14PN4-0226	Adipose - Subcutaneous	male	0.1468037910299288
GTEX-14PQA-0126	Adipose - Subcutaneous	female	0.2387192744283578
GTEX-14XAO-2126	Adipose - Subcutaneous	female	0.2048555317609308
GTEX-15CHC-2226	Adipose - Subcutaneous	female	0.2422702043500842
GTEX-15CHQ-0226	Adipose - Subcutaneous	male	0.2089494645407739
GTEX-15CHR-2326	Adipose - Subcutaneous	male	0.117271793621467
GTEX-15CHS-0226	Adipose - Subcutaneous	male	0.248328237527802
GTEX-15D1Q-0226	Adipose - Subcutaneous	male	0.1767163118151092
GTEX-15D79-0226	Adipose - Subcutaneous	male	0.149732186038512
GTEX-15DCD-0226	Adipose - Subcutaneous	female	0.1392972789786769
GTEX-15DDE-0226	Adipose - Subcutaneous	female	0.282694256614967
GTEX-15DYW-0226	Adipose - Subcutaneous	female	0.1492753149858522
GTEX-15DZA-1926	Adipose - Subcutaneous	female	0.1349279184042999
GTEX-15EO6-0626	Adipose - Subcutaneous	male	0.1402283182960678
GTEX-15ETS-0426	Adipose - Subcutaneous	female	0.2135049152354934
GTEX-15EU6-0826	Adipose - Subcutaneous	male	0.2828537075064412
GTEX-15F5U-1726	Adipose - Subcutaneous	male	0.1618086456245054
GTEX-15FZZ-2226	Adipose - Subcutaneous	female	0.1601107246153285
GTEX-15G19-0226	Adipose - Subcutaneous	male	0.1184100408671832
GTEX-15G1A-2226	Adipose - Subcutaneous	male	0.2058575624147453
GTEX-15RIE-2326	Adipose - Subcutaneous	male	0.2213294646934266
GTEX-15RIG-0326	Adipose - Subcutaneous	male	0.1258316432905319
GTEX-15RJ7-2326	Adipose - Subcutaneous	male	0.1251522893641099
GTEX-15RJE-0226	Adipose - Subcutaneous	male	0.1697751176188953
GTEX-15SB6-1626	Adipose - Subcutaneous	female	0.2261164408737719
GTEX-15SDE-2426	Adipose - Subcutaneous	female	0.1239703964795604
GTEX-15SHU-0226	Adipose - Subcutaneous	female	0.0991315203982059
GTEX-15SHV-2326	Adipose - Subcutaneous	male	0.2114222779321691
